INSEE,LIBGEO,DEP,REG,loypredm2_Maison2018,lwr.IPm2_Maison2018,upr.IPm2_Maison2018,loypredm2_Appart2018,lwr.IPm2_Appart2018,upr.IPm2_Appart2018
1133,Cressin-Rochefort,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1134,Crottet,1,84,7.502677858,6.173124137,9.118587896,8.89283382,6.990386987,11.3130351
1135,Crozet,1,84,18.6577416,13.81009536,25.20701795,17.38266076,12.40672345,24.35428633
1136,Cruzilles-lès-Mépillat,1,84,8.191701105,6.585771255,10.1892344,8.89283382,6.990386987,11.3130351
1138,Culoz,1,84,7.441198704,5.672104712,9.76206205,9.787984262,7.69407597,12.45174031
1139,Curciat-Dongalon,1,84,6.738271537,5.353577331,8.481114682,7.630536274,5.961964682,9.766090028
1140,Curtafond,1,84,7.502677858,6.173124137,9.118587896,8.935439483,6.75482918,11.81999968
1141,Cuzieu,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1142,Dagneux,1,84,10.07486844,7.743212134,13.10863918,12.35189039,9.688449971,15.7475341
1143,Divonne-les-Bains,1,84,22.38191474,14.37327864,34.85287664,22.02686351,16.0571894,30.21591787
1144,Dommartin,1,84,7.502677858,6.173124137,9.118587896,8.609190063,6.502321926,11.39872101
1145,Dompierre-sur-Veyle,1,84,7.205213143,5.550245815,9.353657147,8.476782424,6.60874808,10.87283694
1146,Dompierre-sur-Chalaronne,1,84,8.075292755,6.322278071,10.31437598,9.372335348,7.409663525,11.85487972
1147,Domsure,1,84,6.024304698,4.531345789,8.009154187,7.782304377,6.326050776,9.5737868
1148,Dortan,1,84,7.205213143,5.550245815,9.353657147,7.731821755,5.926937435,10.08633351
1149,Douvres,1,84,7.441198704,5.672104712,9.76206205,8.63555202,6.72107751,11.09535764
1150,Drom,1,84,7.205213143,5.550245815,9.353657147,7.826961629,6.199267981,9.882026158
1151,Druillat,1,84,7.205213143,5.550245815,9.353657147,8.20294543,6.274551686,10.72400342
1152,Échallon,1,84,7.441198704,5.672104712,9.76206205,8.585799582,6.342409501,11.62270497
1153,Échenevex,1,84,18.6577416,13.81009536,25.20701795,19.3328037,14.55973263,25.67061555
1154,Étrez,1,84,7.205213143,5.550245815,9.353657147,8.935439483,6.75482918,11.81999968
1155,Évosges,1,84,6.552576269,4.894431339,8.772470749,8.63555202,6.72107751,11.09535764
1156,Faramans,1,84,8.986277612,6.908752876,11.6885329,11.2670645,8.83474196,14.36903793
1157,Fareins,1,84,9.039551135,6.861075317,11.90971983,8.307128048,6.500183107,10.61637423
1158,Farges,1,84,16.68214561,12.56990023,22.13971291,17.41648246,13.34082945,22.7372565
1159,Feillens,1,84,7.934664271,6.521072336,9.654684667,8.894957326,7.073320835,11.18573124
1160,Ferney-Voltaire,1,84,19.09498073,13.80504108,26.41196697,20.65595086,15.2562806,27.96673168
1162,Flaxieu,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1163,Foissiat,1,84,7.069560971,5.341123891,9.357336273,8.935439483,6.75482918,11.81999968
1165,Francheleins,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1166,Frans,1,84,9.87308294,7.917906031,12.31105375,10.22721199,8.176463101,12.79231176
1167,Garnerans,1,84,8.191701105,6.585771255,10.1892344,8.89283382,6.990386987,11.3130351
1169,Genouilleux,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1170,Béard-Géovreissiat,1,84,7.149631086,5.471062278,9.343199194,8.931484912,7.042985101,11.3263654
1171,Géovreisset,1,84,7.149631086,5.471062278,9.343199194,8.173938781,6.636393216,10.06770892
1173,Gex,1,84,17.53672523,11.28118696,27.26102608,17.88566142,13.824003,23.14068396
1174,Giron,1,84,7.441198704,5.672104712,9.76206205,8.585799582,6.342409501,11.62270497
1175,Gorrevod,1,84,7.502677858,6.173124137,9.118587896,8.476782424,6.60874808,10.87283694
1177,Grand-Corent,1,84,7.149631086,5.471062278,9.343199194,7.826961629,6.199267981,9.882026158
1179,Grièges,1,84,7.502677858,6.173124137,9.118587896,8.89283382,6.990386987,11.3130351
1180,Grilly,1,84,18.6577416,13.81009536,25.20701795,19.284233,14.02522988,26.51519053
1181,Groissiat,1,84,7.149631086,5.471062278,9.343199194,8.931484912,7.042985101,11.3263654
1183,Guéreins,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1184,Hautecourt-Romanèche,1,84,7.149631086,5.471062278,9.343199194,7.826961629,6.199267981,9.882026158
1185,Hauteville-Lompnes,1,84,6.552576269,4.894431339,8.772470749,7.99637798,5.943790059,10.75779261
1186,Hostiaz,1,84,6.552576269,4.894431339,8.772470749,8.899090638,6.738875339,11.75178501
1187,Haut Valromey,1,84,7.441198704,5.672104712,9.76206205,8.585799582,6.342409501,11.62270497
1188,Illiat,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1189,Injoux-Génissiat,1,84,9.729397173,7.139324257,13.25912172,8.585799582,6.342409501,11.62270497
1190,Innimond,1,84,7.191566341,5.188493847,9.96794599,8.899090638,6.738875339,11.75178501
1191,Izenave,1,84,7.149631086,5.471062278,9.343199194,8.63555202,6.72107751,11.09535764
1192,Izernore,1,84,7.149631086,5.471062278,9.343199194,8.931484912,7.042985101,11.3263654
1193,Izieu,1,84,8.058264927,6.438139908,10.08608613,8.96695486,7.101593346,11.3222872
1194,Jassans-Riottier,1,84,9.915328882,7.667311647,12.82245347,10.98429404,8.779453492,13.74285036
1195,Jasseron,1,84,8.205661716,6.433565439,10.46587383,8.20294543,6.274551686,10.72400342
1196,Jayat,1,84,7.479481394,6.039392664,9.262958221,8.935439483,6.75482918,11.81999968
1197,Journans,1,84,8.205661716,6.433565439,10.46587383,8.20294543,6.274551686,10.72400342
1198,Joyeux,1,84,8.986277612,6.908752876,11.6885329,11.2670645,8.83474196,14.36903793
1199,Jujurieux,1,84,7.441198704,5.672104712,9.76206205,8.227088529,6.519271791,10.38229235
1200,Labalme,1,84,7.149631086,5.471062278,9.343199194,8.63555202,6.72107751,11.09535764
1202,Lagnieu,1,84,8.42226275,6.330198555,11.20573221,9.941381218,7.2953145,13.5471967
1203,Laiz,1,84,7.502677858,6.173124137,9.118587896,8.89283382,6.990386987,11.3130351
1204,Le Poizat-Lalleyriat,1,84,7.441198704,5.672104712,9.76206205,8.585799582,6.342409501,11.62270497
1205,Lancrans,1,84,9.729397173,7.139324257,13.25912172,13.24010291,10.49964567,16.69583248
1206,Lantenay,1,84,7.441198704,5.672104712,9.76206205,8.63555202,6.72107751,11.09535764
1207,Lapeyrouse,1,84,9.032596514,6.916207704,11.79660925,11.2670645,8.83474196,14.36903793
1208,Lavours,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1209,Léaz,1,84,9.729397173,7.139324257,13.25912172,13.24010291,10.49964567,16.69583248
1210,Lélex,1,84,13.05485467,8.398306905,20.2932844,13.11861757,9.371971802,18.36306497
1211,Lent,1,84,7.961274819,6.186522222,10.24515786,9.607882602,7.714249236,11.96635023
1212,Lescheroux,1,84,6.738271537,5.353577331,8.481114682,8.935439483,6.75482918,11.81999968
1213,Leyment,1,84,8.986277612,6.908752876,11.6885329,8.63555202,6.72107751,11.09535764
1214,Leyssard,1,84,7.149631086,5.471062278,9.343199194,8.63555202,6.72107751,11.09535764
1215,Lhôpital,1,84,7.441198704,5.672104712,9.76206205,8.585799582,6.342409501,11.62270497
1216,Lhuis,1,84,8.058264927,6.438139908,10.08608613,8.96695486,7.101593346,11.3222872
1218,Lochieu,1,84,7.441198704,5.672104712,9.76206205,8.899090638,6.738875339,11.75178501
1219,Lompnas,1,84,7.191566341,5.188493847,9.96794599,8.96695486,7.101593346,11.3222872
1221,Lompnieu,1,84,7.441198704,5.672104712,9.76206205,8.899090638,6.738875339,11.75178501
1224,Loyettes,1,84,9.168363816,7.217073701,11.64722692,10.59461446,8.167576042,13.74286018
1225,Lurcy,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1227,Magnieu,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1228,Maillat,1,84,7.149631086,5.471062278,9.343199194,8.63555202,6.72107751,11.09535764
1229,Malafretaz,1,84,7.205213143,5.550245815,9.353657147,8.935439483,6.75482918,11.81999968
1230,Mantenay-Montlin,1,84,6.738271537,5.353577331,8.481114682,8.935439483,6.75482918,11.81999968
1231,Manziat,1,84,7.502677858,6.173124137,9.118587896,8.609190063,6.502321926,11.39872101
1232,Marboz,1,84,7.205213143,5.550245815,9.353657147,7.782304377,6.326050776,9.5737868
1233,Marchamp,1,84,7.191566341,5.188493847,9.96794599,8.96695486,7.101593346,11.3222872
1234,Marignieu,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1235,Marlieux,1,84,9.032596514,6.916207704,11.79660925,9.613357142,7.61938215,12.12915086
1236,Marsonnas,1,84,7.502677858,6.173124137,9.118587896,8.935439483,6.75482918,11.81999968
1237,Martignat,1,84,7.441198704,5.672104712,9.76206205,8.931484912,7.042985101,11.3263654
1238,Massieux,1,84,9.87308294,7.917906031,12.31105375,11.2670645,8.83474196,14.36903793
1239,Massignieu-de-Rives,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1240,Matafelon-Granges,1,84,7.149631086,5.471062278,9.343199194,8.931484912,7.042985101,11.3263654
1241,Meillonnas,1,84,8.205661716,6.433565439,10.46587383,8.20294543,6.274551686,10.72400342
1242,Mérignat,1,84,7.149631086,5.471062278,9.343199194,7.826961629,6.199267981,9.882026158
1243,Messimy-sur-Saône,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1244,Meximieux,1,84,8.949360295,7.035054248,11.38456746,11.10986044,8.739107534,14.12375331
1245,Bohas-Meyriat-Rignat,1,84,7.205213143,5.550245815,9.353657147,8.20294543,6.274551686,10.72400342
1246,Mézériat,1,84,7.961274819,6.186522222,10.24515786,8.319767664,6.439870763,10.74843526
1247,Mijoux,1,84,13.05485467,8.398306905,20.2932844,13.11861757,9.371971802,18.36306497
1248,Mionnay,1,84,9.032596514,6.916207704,11.79660925,12.87028395,11.06210785,14.97401864
1249,Miribel,1,84,11.09648732,8.26863228,14.89146289,11.8396681,9.390437128,14.92771196
1250,Misérieux,1,84,9.87308294,7.917906031,12.31105375,11.2670645,8.83474196,14.36903793
1252,Mogneneins,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1254,Montagnat,1,84,8.205661716,6.433565439,10.46587383,8.20294543,6.274551686,10.72400342
1255,Montagnieu,1,84,7.191566341,5.188493847,9.96794599,8.913989437,7.024343217,11.31197683
1257,Montanges,1,84,9.729397173,7.139324257,13.25912172,8.585799582,6.342409501,11.62270497
1258,Montceaux,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1259,Montcet,1,84,7.961274819,6.186522222,10.24515786,8.476782424,6.60874808,10.87283694
1260,Le Montellier,1,84,8.986277612,6.908752876,11.6885329,11.2670645,8.83474196,14.36903793
1261,Monthieux,1,84,9.032596514,6.916207704,11.79660925,11.2670645,8.83474196,14.36903793
1262,Montluel,1,84,9.194185661,7.04332003,12.00187548,11.49428131,9.332244513,14.15720545
1263,Montmerle-sur-Saône,1,84,8.191701105,6.585771255,10.1892344,9.654444436,7.846976662,11.87824322
1264,Montracol,1,84,7.961274819,6.186522222,10.24515786,8.476782424,6.60874808,10.87283694
1265,Montréal-la-Cluse,1,84,7.149631086,5.471062278,9.343199194,8.9680662,7.073951636,11.36934708
1266,Montrevel-en-Bresse,1,84,7.205213143,5.550245815,9.353657147,8.935439483,6.75482918,11.81999968
1267,Nurieux-Volognat,1,84,7.149631086,5.471062278,9.343199194,8.63555202,6.72107751,11.09535764
1268,Murs-et-Gélignieux,1,84,7.641313772,5.523699313,10.57075573,8.96695486,7.101593346,11.3222872
1269,Nantua,1,84,7.149631086,5.471062278,9.343199194,7.864766322,5.877042501,10.52477488
1272,Neuville-les-Dames,1,84,7.961274819,6.186522222,10.24515786,8.455710975,6.753333443,10.58722314
1273,Neuville-sur-Ain,1,84,7.441198704,5.672104712,9.76206205,8.20294543,6.274551686,10.72400342
1274,Les Neyrolles,1,84,7.149631086,5.471062278,9.343199194,8.585799582,6.342409501,11.62270497
1275,Neyron,1,84,11.05945355,8.240005672,14.84361999,11.9257825,9.45178033,15.04735439
1276,Niévroz,1,84,8.986277612,6.908752876,11.6885329,11.92069054,9.367240173,15.17019531
1277,Nivollet-Montgriffon,1,84,6.552576269,4.894431339,8.772470749,7.587898836,5.650173988,10.19016563
1279,Oncieu,1,84,6.552576269,4.894431339,8.772470749,8.63555202,6.72107751,11.09535764
1280,Ordonnaz,1,84,7.191566341,5.188493847,9.96794599,8.899090638,6.738875339,11.75178501
1281,Ornex,1,84,18.33720825,13.4982924,24.91079587,20.69333355,15.6075798,27.43628795
1282,Outriaz,1,84,7.441198704,5.672104712,9.76206205,8.63555202,6.72107751,11.09535764
1283,Oyonnax,1,84,7.835006373,5.973469972,10.27666083,9.231873832,6.900456571,12.35099353
1284,Ozan,1,84,7.479481394,6.039392664,9.262958221,8.609190063,6.502321926,11.39872101
1285,Parcieux,1,84,9.87308294,7.917906031,12.31105375,11.2670645,8.83474196,14.36903793
1286,Parves et Nattages,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1288,Péron,1,84,16.68214561,12.56990023,22.13971291,17.33121662,13.26473458,22.64433319
1289,Péronnas,1,84,8.205661716,6.433565439,10.46587383,10.19846557,8.195570097,12.6908438
1290,Pérouges,1,84,9.168363816,7.217073701,11.64722692,12.09755502,9.686133227,15.10931494
1291,Perrex,1,84,7.502677858,6.173124137,9.118587896,8.476782424,6.60874808,10.87283694
1293,Peyriat,1,84,7.149631086,5.471062278,9.343199194,8.63555202,6.72107751,11.09535764
1294,Peyrieu,1,84,7.641313772,5.523699313,10.57075573,8.96695486,7.101593346,11.3222872
1295,Peyzieux-sur-Saône,1,84,8.191701105,6.585771255,10.1892344,9.372335348,7.409663525,11.85487972
1296,Pirajoux,1,84,7.205213143,5.550245815,9.353657147,8.935439483,6.75482918,11.81999968
1297,Pizay,1,84,8.986277612,6.908752876,11.6885329,11.2670645,8.83474196,14.36903793
1298,Plagne,1,84,9.729397173,7.139324257,13.25912172,8.585799582,6.342409501,11.62270497
1299,Le Plantay,1,84,9.032596514,6.916207704,11.79660925,9.613357142,7.61938215,12.12915086
1301,Polliat,1,84,7.961274819,6.186522222,10.24515786,8.852837473,6.998838426,11.19796265
1302,Pollieu,1,84,7.641313772,5.523699313,10.57075573,8.899090638,6.738875339,11.75178501
1303,Poncin,1,84,7.149631086,5.471062278,9.343199194,8.28069107,6.559612934,10.453337
1304,Pont-d'Ain,1,84,7.205213143,5.550245815,9.353657147,8.622539514,6.830848473,10.88418049
1305,Pont-de-Vaux,1,84,7.502677858,6.173124137,9.118587896,7.919417726,6.386592132,9.820131899
1306,Pont-de-Veyle,1,84,7.502677858,6.173124137,9.118587896,8.447998732,6.641849366,10.7453028
1307,Port,1,84,7.149631086,5.471062278,9.343199194,8.931484912,7.042985101,11.3263654
